"","X","x"
"1770",1770,21
"1771",1771,3
"1772",1772,723
"1773",1773,1
"1774",1774,20
"1775",1775,3
"1776",1776,901
"1777",1777,4
"1778",1778,2
"1779",1779,10
"1780",1780,6
"1781",1781,1
"1782",1782,3
"1783",1783,615
"1784",1784,3
"1785",1785,5
"1786",1786,6
"1787",1787,7
"1788",1788,62
"1789",1789,10
"1790",1790,77
"1791",1791,3
"1792",1792,15
"1793",1793,26
"1794",1794,1108
"1795",1795,358
"1796",1796,6
"1797",1797,3
"1798",1798,50
"1799",1799,6
"1800",1800,13
"1801",1801,6
"1802",1802,50
"1803",1803,450
"1804",1804,1
"1805",1805,151
"1806",1806,668
"1807",1807,5
"1808",1808,2
"1809",1809,6
"1810",1810,12
"1811",1811,7
"1812",1812,6
"1813",1813,6
"1814",1814,3
"1815",1815,19
"1816",1816,3
"1817",1817,2
"1818",1818,3
"1819",1819,2
"1820",1820,721
"1821",1821,3
"1822",1822,3
"1823",1823,2
"1824",1824,3
"1825",1825,3
"1826",1826,2
"1827",1827,176
"1828",1828,3
"1829",1829,5
"1830",1830,776
"1831",1831,71
"1832",1832,1
"1833",1833,2
"1834",1834,5
"1835",1835,5
"1836",1836,3
"1837",1837,3
"1838",1838,7
"1839",1839,1
"1840",1840,1
"1841",1841,3
"1842",1842,6
"1843",1843,33
"1844",1844,2
"1845",1845,11
"1846",1846,10
"1847",1847,2
"1848",1848,2
"1849",1849,3
"1850",1850,15
"1851",1851,22
"1852",1852,6
"1853",1853,2
"1854",1854,6
"1855",1855,4
"1856",1856,23
"1857",1857,1
"1858",1858,6
"1859",1859,4
"1860",1860,289
"1861",1861,32
"1862",1862,7
"1863",1863,748
"1864",1864,5
"1865",1865,3
"1866",1866,33
"1867",1867,3
"1868",1868,14
"1869",1869,6
"1870",1870,2
"1871",1871,3
"1872",1872,31
"1873",1873,2
"1874",1874,2
"1875",1875,39
"1876",1876,1
"1877",1877,2
"1878",1878,11
"1879",1879,9
"1880",1880,6
"1881",1881,31
"1882",1882,618
"1883",1883,13
"1884",1884,3
"1885",1885,6
"1886",1886,849
"1887",1887,7
"1888",1888,3
"1889",1889,3
"1890",1890,19
"1891",1891,776
"1892",1892,2
"1893",1893,3
"1894",1894,4
"1895",1895,3
"1896",1896,6
"1897",1897,13
"1898",1898,140
"1899",1899,5
"1900",1900,21
"1901",1901,23
"1902",1902,3
"1903",1903,2
"1904",1904,3
"1905",1905,1834
"1906",1906,932
"1907",1907,3
"1908",1908,7
"1909",1909,1
"1910",1910,33
"1911",1911,6
"1912",1912,6
"1913",1913,3
"1914",1914,3
"1915",1915,3
"1916",1916,34
"1917",1917,159
"1918",1918,20
"1919",1919,3
"1920",1920,534
"1921",1921,7
"1922",1922,3
"1923",1923,62
"1924",1924,10
"1925",1925,6
"1926",1926,2
"1927",1927,4
"1928",1928,7
"1929",1929,6
"1930",1930,3
"1931",1931,4
"1932",1932,3
"1933",1933,10
"1934",1934,15
"1935",1935,7
"1936",1936,6
"1937",1937,644
"1938",1938,6
"1939",1939,6
"1940",1940,15
"1941",1941,6
"1942",1942,1
"1943",1943,86
"1944",1944,50
"1945",1945,926
"1946",1946,2
"1947",1947,2
"1948",1948,100
"1949",1949,33
"1950",1950,7
"1951",1951,3
"1952",1952,697
"1953",1953,4
"1954",1954,1
"1955",1955,32
"1956",1956,3
"1957",1957,7
"1958",1958,9
"1959",1959,5
"1960",1960,3
"1961",1961,127
"1962",1962,3
"1963",1963,13
"1964",1964,1
"1965",1965,2
"1966",1966,3
"1967",1967,931
"1968",1968,6
"1969",1969,10
"1970",1970,167
"1971",1971,3
"1972",1972,3
"1973",1973,3
"1974",1974,2
"1975",1975,3
"1976",1976,4
"1977",1977,3
"1978",1978,1
"1979",1979,813
"1980",1980,332
"1981",1981,3
"1982",1982,135
"1983",1983,46
"1984",1984,3
"1985",1985,3
"1986",1986,13
"1987",1987,2
"1988",1988,6
"1989",1989,1040
"1990",1990,10
"1991",1991,710
"1992",1992,3
"1993",1993,5
"1994",1994,22
"1995",1995,3
"1996",1996,31
"1997",1997,3
"1998",1998,6
"1999",1999,5
"2000",2000,2
